2020-02-23 20:49:09,677 SeleniumDriver.py--> __init__ 20: INFO -->当前打开浏览器为:chrome
2020-02-23 20:49:11,308 SeleniumDriver.py--> open_url_is_true 20: INFO -->当前网页:慕课网,结果:True
2020-02-23 20:49:29,169 SeleniumDriver.py--> __init__ 20: INFO -->当前打开浏览器为:chrome
2020-02-23 20:49:30,610 SeleniumDriver.py--> open_url_is_true 20: INFO -->当前网页:慕课网,结果:True
2020-02-23 20:49:44,711 SeleniumDriver.py--> __init__ 20: INFO -->当前打开浏览器为:chrome
2020-02-23 20:49:45,873 SeleniumDriver.py--> open_url_is_true 20: INFO -->当前网页:慕课网,结果:True
2020-02-23 20:50:03,699 SeleniumDriver.py--> __init__ 20: INFO -->当前打开浏览器为:chrome
2020-02-23 20:50:05,302 SeleniumDriver.py--> open_url_is_true 20: INFO -->当前网页:慕课网,结果:True
2020-02-23 20:50:23,178 SeleniumDriver.py--> __init__ 20: INFO -->当前打开浏览器为:chrome
2020-02-23 20:50:24,820 SeleniumDriver.py--> open_url_is_true 20: INFO -->当前网页:慕课网,结果:True
2020-02-23 20:50:42,707 SeleniumDriver.py--> __init__ 20: INFO -->当前打开浏览器为:chrome
2020-02-23 20:50:44,355 SeleniumDriver.py--> open_url_is_true 20: INFO -->当前网页:慕课网,结果:True
2020-02-23 20:51:02,186 SeleniumDriver.py--> __init__ 20: INFO -->当前打开浏览器为:chrome
2020-02-23 20:51:03,393 SeleniumDriver.py--> open_url_is_true 20: INFO -->当前网页:慕课网,结果:True
2020-02-23 21:51:30,884 SeleniumDriver.py--> __init__ 20: INFO -->当前打开浏览器为:chrome
2020-02-23 21:51:32,824 SeleniumDriver.py--> open_url_is_true 20: INFO -->当前网页:慕课网,结果:True
2020-02-23 21:51:47,256 SeleniumDriver.py--> __init__ 20: INFO -->当前打开浏览器为:chrome
2020-02-23 21:51:49,228 SeleniumDriver.py--> open_url_is_true 20: INFO -->当前网页:慕课网,结果:True
2020-02-23 21:52:07,825 SeleniumDriver.py--> __init__ 20: INFO -->当前打开浏览器为:chrome
2020-02-23 21:52:09,696 SeleniumDriver.py--> open_url_is_true 20: INFO -->当前网页:慕课网,结果:True
2020-02-23 21:52:24,257 SeleniumDriver.py--> __init__ 20: INFO -->当前打开浏览器为:chrome
2020-02-23 21:52:26,182 SeleniumDriver.py--> open_url_is_true 20: INFO -->当前网页:慕课网,结果:True
2020-02-23 22:14:22,815 SeleniumDriver.py--> __init__ 20: INFO -->当前打开浏览器为:chrome
2020-02-23 22:14:24,616 SeleniumDriver.py--> open_url_is_true 20: INFO -->当前网页:慕课网,结果:True
2020-02-23 22:15:12,493 SeleniumDriver.py--> __init__ 20: INFO -->当前打开浏览器为:chrome
2020-02-23 22:15:13,585 SeleniumDriver.py--> open_url_is_true 20: INFO -->当前网页:慕课网,结果:True
2020-02-23 22:19:22,783 SeleniumDriver.py--> __init__ 20: INFO -->当前打开浏览器为:chrome
2020-02-23 22:19:23,851 SeleniumDriver.py--> open_url_is_true 20: INFO -->当前网页:慕课网,结果:True
2020-02-23 22:19:44,898 SeleniumDriver.py--> __init__ 20: INFO -->当前打开浏览器为:chrome
2020-02-23 22:19:46,556 SeleniumDriver.py--> open_url_is_true 20: INFO -->当前网页:慕课网,结果:True
2020-02-23 22:21:06,678 SeleniumDriver.py--> __init__ 20: INFO -->当前打开浏览器为:chrome
2020-02-23 22:21:08,339 SeleniumDriver.py--> open_url_is_true 20: INFO -->当前网页:慕课网,结果:True
2020-02-23 22:25:07,628 SeleniumDriver.py--> __init__ 20: INFO -->当前打开浏览器为:chrome
2020-02-23 22:25:14,372 SeleniumDriver.py--> open_url_is_true 20: INFO -->当前网页:慕课网,结果:True
2020-02-23 22:25:59,758 SeleniumDriver.py--> __init__ 20: INFO -->当前打开浏览器为:chrome
2020-02-23 22:26:06,372 SeleniumDriver.py--> open_url_is_true 20: INFO -->当前网页:慕课网,结果:True
2020-02-23 22:27:16,435 SeleniumDriver.py--> __init__ 20: INFO -->当前打开浏览器为:chrome
2020-02-23 22:27:30,854 SeleniumDriver.py--> __init__ 20: INFO -->当前打开浏览器为:chrome
2020-02-23 22:27:37,756 SeleniumDriver.py--> open_url_is_true 20: INFO -->当前网页:慕课网,结果:True
